problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.110,4.91015625,,15,20,35,0,0
baltazar,RUNTIME_ERROR,30,27.27%,32.81%,0.290,45.9921875,,0,30,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.180,7.04296875,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,30,27.27%,23.40%,0.380,53.48046875,,0,0,30,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.190,12.58984375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.060,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,1.430,1.81640625,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.110,1.81640625,,41,22,47,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.170,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.810,68.09765625,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.150,7.48828125,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,12,10.91%,45.24%,3.610,7.765625,,0,12,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.140,10.61328125,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.100,3.6171875,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,4.55%,0.170,12.40234375,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.480,39.3984375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.240,5.16796875,,11,22,27,18,32
TOTAL,,1652,,76.24%,,,72.00%,,,,,
