problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.090,9.8046875,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.070,5.0546875,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.160,64.63671875,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.00%,0.020,10.0625,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.030,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.030,1.55078125,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.030,1.6640625,,0,0,0,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.220,4.390625,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.050,2.84765625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,74.10%,2.230,5.41796875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,23,52.27%,2.210,23.88671875,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.050,6.078125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.040,4.390625,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.070,35.84375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.150,15.08203125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.070,1.91015625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.070,114.4765625,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.060,0.00390625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.330,8.0,,13,17,0,0,0
TOTAL,,1114,60.94%,,,52.00%,,,,,
