problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,10,10.00%,24.39%,0.190,55.1796875,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.150,7.4375,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.110,2.7890625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.390,23.98046875,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,50,50.00%,71.11%,0.250,30.4296875,,0.0,0,0,0,0,0,9.0,10.0,6.0,11.0,14.0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,4.800,16.50390625,,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.140,9.55078125,,0.0,23.0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.5546875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,19,19.00%,39.69%,0.590,9.875,,0.0,0,0,0,0,0,0,0,0,11.0,8.0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.470,67.80859375,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.500,226.06640625,,0.0,8.0,11.0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.310,21.90625,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,27,27.00%,53.72%,2.460,33.51171875,,0.0,8.0,0,0,0,7.0,0,12.0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.140,7.96875,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,910,,58.94%,,,47.06%,,,,,,,,,,,,,
