problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,4.92%,1.520,2.50390625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,3,3.00%,0.00%,0.180,1.953125,,0.00362,0.00681,0.015510000000000001,0.02866,0.05259,0.11599,0.20944000000000002,0.37631,0.81403,1.47723
travel,RUNTIME_ERROR,0,0.00%,0.00%,0.250,39.75,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,11.24%,0.090,0,,0,0,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,0,0.00%,3.10%,0.380,2.9921875,,0,0,0,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,3,,1.75%,,,0.00%,,,,,,,,,,
