problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.270,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.060,2.84375,,5,5,2,3,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.180,13.56640625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,15.93%,0.130,2.8359375,,0,0,0,0,0,0,0
d1p1,MEMORY_LIMIT_EXCEEDED,5,23.21%,0.930,1096.48046875,,5,0,0,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,1.71%,0.190,33.8203125,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.200,24.45703125,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,1.15%,4.420,5.16015625,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,2.328125,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,3,16.13%,0.050,1.8203125,,3,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,98,44.05%,,,40.00%,,,,,,,
