competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,3133,819,960,186,431,3996,187,512
APIO-2023,0,0,3,0,7,11,1,2
APIO-2024,1,0,2,0,11,10,0,0
BOI-2023,1,0,14,0,1,30,0,2
BOI-2024,12,0,1,0,0,35,0,0
BOI-2025,0,0,9,4,0,33,0,2
CCO-2023,41,0,5,0,0,69,1,12
CCO-2024,58,0,4,1,2,45,1,17
CEOI-2023,0,0,6,0,15,24,2,1
CEOI-2024,1,0,0,0,2,42,0,3
COCI-2023,120,0,4,3,6,57,4,6
COCI-2024,90,2,13,0,4,80,0,11
COCI-2025,101,4,13,2,8,58,12,2
EGOI-2023,16,0,5,0,0,35,8,0
EGOI-2024,12,0,1,0,1,42,7,1
EJOI-2023,2,0,14,0,0,29,0,3
EJOI-2024,19,0,8,0,0,19,0,2
IATI-2024,13,5,12,1,1,42,4,10
IOI-2023,0,0,1,0,2,43,0,2
IOI-2024,0,0,10,1,2,31,0,4
JOI-2023,17,0,15,0,20,89,1,18
JOI-2024,10,0,19,2,27,88,2,12
JOI-2025,10,0,3,0,2,24,0,1
NOINordic-2023,14,0,2,2,0,4,2,0
NOINordic-2024,7,0,0,0,0,17,0,0
NOINordic-2025,3,0,6,1,3,11,0,0
OOI-2023,37,0,14,5,0,70,4,6
OOI-2024,30,0,14,5,0,70,11,6
RMI-2023,10,0,1,6,3,22,0,6
RMI-2024,5,0,13,1,2,25,0,2
USACO-2023,183,95,27,10,5,54,0,10
USACO-2024,114,96,56,10,17,70,0,21
USACO-2025,117,71,25,8,5,53,0,9
