problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
milano,RUNTIME_ERROR,18,19.05%,0.100,4.39453125,,0,18,0,0,0
restorani,RUNTIME_ERROR,0,0.68%,0.120,20.58984375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.100,1.55859375,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.060,0.00390625,,12,22,16,0,0
knjige,RUNTIME_ERROR,0,0.00%,0.060,3.6171875,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,RUNTIME_ERROR,0,6.47%,0.080,4.38671875,,0,0,0,0,0
roboti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
pahuljice,RUNTIME_ERROR,0,22.22%,0.060,0,,0,0,0,0,0
pingvin,RUNTIME_ERROR,0,3.12%,0.000,0,,0,0,0,0,0
dizalo,RUNTIME_ERROR,0,0.00%,0.070,1.87109375,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,12.16%,0.060,0,,0,0,0,0,0
zatopljenje,RUNTIME_ERROR,0,0.00%,0.060,0,,0,0,0,0,0
sudoku,RUNTIME_ERROR,0,45.71%,0.000,0,,0,0,0,0,0
labirint,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
an2dl,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kocke,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,68,8.38%,,,4.00%,,,,,
