problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,62,75.00%,0.850,101.32421875,,5,19,19,19,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,8,27.50%,1.840,6.71875,,8,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,10,19.83%,1.860,57.6015625,,6,0,0,4,0,0,0,0,0,0
ones,WRONG_ANSWER,68,0.00%,0.200,1.94921875,,4.71425,7.230379999999999,7.28144,7.30314,7.28568,7.73601,7.70053,7.56587,6.159590000000001,5.42968
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.200,33.78125,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,89,96.20%,0.460,96.14453125,,0,11,18,24,36,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.270,9.58984375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.200,4.64453125,,0,5,5,10,20,10,20,30,0,0
twins,ACCEPTED,100,100.00%,0.140,10.26171875,,40,10,50,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,0.390,15.21875,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,2.86%,0.130,2.3671875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,657,59.16%,,,36.36%,,,,,,,,,,
