problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,9.17%,0.160,24.2421875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,2.25%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.420,0.00390625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,13.46%,0.500,11.12109375,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.45%,4.420,12.54296875,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,TIME_LIMIT_EXCEEDED,23,27.42%,1.110,3.36328125,,0.0,23.0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.000,0,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,18,53.49%,7.710,5.1640625,,0.0,10.0,0,0,0,8.0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,5.21%,0.000,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,17,35.65%,3.330,38.22265625,,0.0,10.0,0,0,0,7.0,0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,8,69.79%,2.320,74.3125,,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,0,1.71%,0.260,2.54296875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,RUNTIME_ERROR,0,0.88%,0.350,3.6171875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,TIME_LIMIT_EXCEEDED,17,62.79%,1.120,8.0,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,287,31.13%,,,11.76%,,,,,,,,,,,,,
