competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-30B,21263,35.07%,0.75,47.29,16.87%
APIO-2023,Qwen3-30B,20,13.72%,0.21,22.90,0.00%
APIO-2024,Qwen3-30B,5,5.95%,0.15,4.76,0.00%
BOI-2023,Qwen3-30B,37,43.00%,0.04,0.50,0.00%
BOI-2024,Qwen3-30B,142,36.99%,0.27,5.16,16.67%
BOI-2025,Qwen3-30B,12,7.74%,0.69,27.16,0.00%
CCO-2023,Qwen3-30B,113,50.91%,0.38,76.41,31.25%
CCO-2024,Qwen3-30B,130,51.82%,0.74,11.19,50.00%
CEOI-2023,Qwen3-30B,0,2.73%,1.33,4.44,0.00%
CEOI-2024,Qwen3-30B,26,28.93%,1.54,201.75,0.00%
COCI-2023,Qwen3-30B,1195,58.16%,0.65,6.36,48.00%
COCI-2024,Qwen3-30B,1256,64.56%,0.39,12.23,60.00%
COCI-2025,Qwen3-30B,870,50.46%,0.71,12.31,40.00%
EGOI-2023,Qwen3-30B,336,44.22%,0.24,118.92,37.50%
EGOI-2024,Qwen3-30B,51,27.83%,0.08,3.16,0.00%
EJOI-2023,Qwen3-30B,68,16.21%,0.79,382.71,0.00%
EJOI-2024,Qwen3-30B,158,39.56%,1.17,30.52,16.67%
IATI-2024,Qwen3-30B,0,0.00%,0.00,0.00,0.00%
IOI-2023,Qwen3-30B,32,12.90%,0.32,11.20,0.00%
IOI-2024,Qwen3-30B,105,33.44%,1.07,380.93,0.00%
JOI-2023,Qwen3-30B,252,38.01%,1.00,7.67,5.26%
JOI-2024,Qwen3-30B,178,22.87%,0.64,8.44,5.00%
NOINordic-2023,Qwen3-30B,200,80.78%,0.24,13.20,66.67%
NOINordic-2024,Qwen3-30B,55,47.81%,0.91,6.18,0.00%
NOINordic-2025,Qwen3-30B,125,47.85%,3.76,8.85,33.33%
OOI-2023,Qwen3-30B,554,43.38%,0.40,5.87,17.65%
OOI-2024,Qwen3-30B,755,60.76%,1.65,16.08,29.41%
RMI-2023,Qwen3-30B,62,26.08%,0.94,6.19,0.00%
RMI-2024,Qwen3-30B,41,19.41%,0.51,19.59,0.00%
USACO-2023,Qwen3-30B,6312,44.88%,1.29,21.32,27.66%
USACO-2024,Qwen3-30B,5331,38.38%,0.74,21.24,21.28%
USACO-2025,Qwen3-30B,2842,27.88%,0.53,18.79,16.67%
