problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.150,3.6171875,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,0,14.06%,4.810,95.5,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.290,9.54296875,,13,17,33,47,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,45,60.00%,2.220,8.53125,,20,25,0,0,0
logaritam,RUNTIME_ERROR,0,0.00%,0.050,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.050,0.00390625,,0,0,0,0,0
zastave,ACCEPTED,110,100.00%,0.160,2.84375,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.000,0,,15,20,0,0,0
bojanje,ACCEPTED,110,100.00%,0.050,0,,30,40,40,0,0
mreza,TIME_LIMIT_EXCEEDED,21,47.22%,5.510,51.96484375,,21,0,0,0,0
vrsta,ACCEPTED,110,100.00%,0.170,5.1875,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.060,0.00390625,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,12,16.67%,3.310,7.48828125,,0,12,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.080,8.25390625,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,RUNTIME_ERROR,0,0.00%,0.080,2.58984375,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,9.09%,0.410,14.10546875,,0,0,0,0,0
iksevi,RUNTIME_ERROR,0,0.00%,0.180,9.03515625,,0,0,0,0,0
neboderi,ACCEPTED,110,100.00%,0.430,12.8984375,,11,22,27,18,32
TOTAL,,1043,51.58%,,,44.00%,,,,,
