problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-120b-medium,ACCEPTED,100,100.00%,100.00%,0.430,70.88671875
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-120b-medium,RUNTIME_ERROR,0,0.00%,40.00%,0.000,0
2023-sp_Passport,gpt-oss-120b-medium,RUNTIME_ERROR,6,6.00%,43.28%,0.220,102.59375
2023-sp_Belt_Conveyor,gpt-oss-120b-medium,RUNTIME_ERROR,1,1.00%,12.90%,0.090,11.69921875
2023-sp_Council,gpt-oss-120b-medium,RUNTIME_ERROR,0,0.00%,55.56%,0.230,45.3828125
2023-sp_Mizuyokan_2,gpt-oss-120b-medium,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,gpt-oss-120b-medium,RUNTIME_ERROR,0,0.00%,50.85%,0.050,0.00390625
2023-sp_Cookies,gpt-oss-120b-medium,ACCEPTED,100,100.00%,100.00%,0.170,1.8125
2023-sp_Tourism,gpt-oss-120b-medium,ACCEPTED,100,100.00%,100.00%,4.700,35.9296875
2023-sp_Super_Dango_Maker,gpt-oss-120b-medium,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-oss-120b-medium,RUNTIME_ERROR,0,0.00%,5.95%,0.060,4.390625
2023-sp_Bitaro’s_travel,gpt-oss-120b-medium,RUNTIME_ERROR,0,0.00%,5.17%,0.050,0.00390625
