problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,17,33.33%,0.000,0,,17,0,0,0,0
vrsar,RUNTIME_ERROR,0,0.00%,0.120,5.22265625,,0,0,0,0,0
milano,RUNTIME_ERROR,0,9.52%,0.150,7.5703125,,0,0,0,0,0
restorani,MEMORY_LIMIT_EXCEEDED,0,0.68%,0.630,277.203125,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,7,25.00%,0.120,2.07421875,,7,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,RUNTIME_ERROR,0,4.32%,0.090,6.5234375,,0,0,0,0,0
roboti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,RUNTIME_ERROR,63,90.62%,0.110,9.1640625,,0,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,MEMORY_LIMIT_EXCEEDED,0,4.05%,0.060,0.00390625,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,40.00%,2.210,5.15625,,10,0,0,0,0
sudoku,RUNTIME_ERROR,0,45.71%,0.000,0,,0,0,0,0,0
labirint,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
an2dl,RUNTIME_ERROR,0,4.17%,0.430,73.1171875,,0,0,0,0,0
kocke,RUNTIME_ERROR,0,3.33%,0.070,0.00390625,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,197,18.43%,,,8.00%,,,,,
