problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.030,1.55078125,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.020,0.00390625,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,14.71%,0.580,130.9765625,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.140,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.430,88.94921875,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,4.26%,2.410,1.8046875,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,1.910,215.0234375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.030,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,9.23828125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,16.13%,0.180,26.453125,,0,27,0,0,0,0
tura,TIME_LIMIT_EXCEEDED,0,12.95%,0.610,9.8203125,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.080,1.55859375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,74.42%,2.410,7.48828125,,25,13,9,0,0,0
blistavost,RUNTIME_ERROR,55,42.62%,0.040,1.5546875,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.030,1.80859375,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.030,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.100,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.160,17.22265625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,3.28%,0.030,0,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,0.520,104.3515625,,13,18,34,15,40,0
TOTAL,,1112,60.66%,,,52.00%,,,,,,
