problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.190,6.1953125,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.170,6.18359375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.130,20.5859375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
piratski,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,27,35.71%,0.100,2.07421875,,0,27,0,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,64.03%,2.290,5.1640625,,10,20,35,0,0
roboti,RUNTIME_ERROR,10,13.64%,1.020,45.10546875,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.060,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.090,2.83984375,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,10.81%,0.000,0,,0,0,0,0,0
zatopljenje,ACCEPTED,110,100.00%,0.850,79.46484375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.130,2.82421875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,2.630,122.2109375,,12,17,25,56,0
kocke,MEMORY_LIMIT_EXCEEDED,0,13.33%,0.240,562.29296875,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,842,45.68%,,,40.00%,,,,,
