problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,ACCEPTED,100,100.00%,0.630,931.33203125,,5,20,10,6,12,20,27,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,6,36.57%,0.050,1.55859375,,6,0,0,0,0,0,0,0
2024-open-t3_Library_3,RUNTIME_ERROR,2,54.69%,0.100,1.5390625,,2,0,0,0,0,0,0,0
2024-sp_Fish_3,ACCEPTED,100,100.00%,0.270,83.24609375,,9,7,28,20,36,0,0,0
2024-sp_Ski_2,RUNTIME_ERROR,0,19.40%,0.350,14.94140625,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,RUNTIME_ERROR,17,36.04%,0.070,5.59375,,3,7,7,0,0,0,0,0
2024-sp_Tricolor_Lights,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,TIME_LIMIT_EXCEEDED,30,76.69%,5.980,77.08984375,,4,5,21,0,0,0,0,0
2024-sp_Card_Collection,RUNTIME_ERROR,0,25.64%,0.050,0,,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour,TIME_LIMIT_EXCEEDED,52,55.41%,3.610,174.81640625,,6,8,6,16,16,0,0,0
2024-sp_Tower,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.060,3.09765625,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,TIME_LIMIT_EXCEEDED,54,82.24%,2.420,38.1640625,,6,8,17,23,0,0,0,0
2024-sp_Island_Hopping,RUNTIME_ERROR,2,4.31%,0.050,1.5390625,,2,0,0,0,0,0,0,0
2024-sp_Table_Tennis,ACCEPTED,100,100.00%,0.080,13.41796875,,5,4,23,30,15,23,0,0
2024-ho-t1_Room_Temperature,ACCEPTED,100,100.00%,0.110,5.16796875,,15,5,30,35,15,0,0,0
2024-ho-t2_Construction_Project_2,ACCEPTED,100,100.00%,0.230,26.125,,8,16,29,47,0,0,0,0
2024-ho-t3_Marathon_Race_2,RUNTIME_ERROR,7,67.42%,0.050,0,,7,0,0,0,0,0,0,0
2024-ho-t4_Gift_Exchange,RUNTIME_ERROR,0,36.14%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,RUNTIME_ERROR,0,0.00%,0.110,12.89453125,,0,0,0,0,0,0,0,0
TOTAL,,670,49.73%,,,25.00%,,,,,,,,
