problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,5.41%,0.010,4.65234375
2024-sp_Ski_2,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tricolor_Lights,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Card_Collection,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,3.10%,0.000,0
2024-sp_JOI_Tour,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,Mistral-Small-3.1-24B-2503,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.140,3.6171875
2024-sp_Island_Hopping,Mistral-Small-3.1-24B-2503,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Table_Tennis,Mistral-Small-3.1-24B-2503,RUNTIME_ERROR,0,10.66%,0.140,13.41796875
